Bank,N_Respondents,MQ_mean,EXP_mean,RMP_mean,NPL_Ratio_%,CAR_%,Tier1_%,Market_Cap_Bn,NPL_Value_Bn,Total_Loans_Bn
Zenith Bank Plc,0,2.0,0.0,2.9,4.7,20.1,17.8,1429,469,9976
Guaranty Trust Bank ,0,2.0,0.0,2.9,5.2,21.8,19.7,2330,392,7538
Access Bank Plc,0,2.0,0.0,2.9,3.0,23.2,20.5,1410,345,11500
United Bank for Africa,0,2.0,0.0,2.9,6.6,23.7,20.6,1800,792,12000
First Bank of Nigeria,0,2.0,0.0,2.9,6.1,19.8,17.1,1200,427,7000
Fidelity Bank Plc,0,2.0,0.0,2.9,3.1,19.5,16.8,1054,136,4387
Stanbic IBTC Bank,0,2.0,0.0,2.9,4.2,19.8,17.1,600,248,5905
First City Monument Bank,0,2.0,0.0,2.9,3.2,21.0,18.3,520,184,5750
Union Bank of Nigeria,0,2.0,0.0,2.9,3.7,18.9,16.2,520,213,5750
Sterling Bank,1,2.0,0.0,2.8,3.3,19.2,16.5,260,122,3697
